Date,TCS.NS,INFY.NS,WIPRO.NS,HCLTECH.NS,RELIANCE.NS,ONGC.NS,TATAPOWER.NS,ADANIGREEN.NS,SUNPHARMA.NS,DRREDDY.NS,CIPLA.NS,DIVISLAB.NS
2023-05-31,3025.254150390625,1209.0491943359375,188.7882537841797,1038.3790283203125,1127.5009765625,133.15980529785156,209.37193298339844,977.7000122070312,948.2760620117188,882.370361328125,927.5260009765625,3379.79052734375
2023-06-01,3056.982421875,1210.1495361328125,190.42523193359375,1035.4771728515625,1124.4652099609375,132.08523559570312,211.0876922607422,993.9500122070312,960.2831420898438,892.3681640625,938.9126586914062,3460.07421875
2023-06-02,3040.06103515625,1207.361328125,189.3962860107422,1031.0792236328125,1120.7904052734375,132.98785400390625,211.4308319091797,983.5499877929688,971.8529052734375,903.8167724609375,939.983154296875,3446.5302734375
2023-06-05,3024.7021484375,1212.47314453125,189.04550170898438,1032.2127685546875,1130.856201171875,133.58963012695312,214.7643280029297,987.8499755859375,980.7489013671875,902.464111328125,948.6934814453125,3398.14404296875
2023-06-06,2972.6494140625,1188.772216796875,187.05776977539062,1023.416748046875,1131.81494140625,132.08523559570312,212.5093231201172,991.8499755859375,985.65869140625,908.9529418945312,946.01708984375,3472.3427734375
2023-06-07,3011.82666015625,1198.0201416015625,188.3907012939453,1023.8248291015625,1140.3970947265625,132.25717163085938,216.17071533203125,985.5499877929688,986.4364013671875,916.225830078125,934.7278442382812,3476.465087890625
2023-06-08,2976.4658203125,1192.3043212890625,186.8706817626953,1021.7390747070312,1141.081787109375,134.19137573242188,218.34776306152344,976.0,959.6026000976562,911.452392578125,939.5452270507812,3434.8505859375
2023-06-09,2951.497314453125,1176.6427001953125,185.81834411621094,1006.3235473632812,1133.0018310546875,132.6009979248047,218.89202880859375,963.6500244140625,956.6372680664062,914.8634033203125,943.2921142578125,3365.215576171875
2023-06-12,2986.076416015625,1200.8084716796875,185.02325439453125,1033.43701171875,1134.006103515625,133.28875732421875,218.64462280273438,961.0999755859375,958.095703125,916.598388671875,934.2411499023438,3374.73583984375
2023-06-13,2983.133544921875,1212.798583984375,184.99986267089844,1025.8651123046875,1150.759521484375,133.80453491210938,219.4857635498047,955.2999877929688,960.6720581054688,921.763916015625,955.2140502929688,3423.072998046875
2023-06-14,2989.89306640625,1208.66259765625,185.42080688476562,1029.990966796875,1164.910888671875,135.6957550048828,221.8112335205078,957.6500244140625,959.3109741210938,921.17578125,952.4890747070312,3421.35546875
2023-06-15,2979.9326171875,1196.02197265625,181.91305541992188,1037.0185546875,1165.2303466796875,135.52381896972656,218.2982940673828,962.5999755859375,960.9637451171875,941.6517944335938,971.466796875,3514.693359375
2023-06-16,2941.5751953125,1200.52978515625,178.33509826660156,1041.18994140625,1176.574462890625,134.9650421142578,219.93106079101562,975.0499877929688,964.4638061523438,963.529541015625,979.1065673828125,3513.270263671875
2023-06-19,2974.466064453125,1202.714111328125,177.7972412109375,1031.5325927734375,1164.8880615234375,135.65277099609375,220.82167053222656,960.3499755859375,973.9918212890625,956.4623413085938,984.1672973632812,3518.32470703125
